playlist,track_id,track_name,artist,album,duration_ms,release_date,popularity
Mal🤍,4ZQA0norYP8HHLJszeWvvd,PakalIravukal,Neha S. Nair,PakalIravukal - Kurup - Malayalam,213051,2021-11-01,0
Mal🤍,4Rvo7kWVZJCst0cOS7Md3p,Jupiter Mazha,Dhanwin K B,Jupiter Mazha,221538,2021-06-28,0
Mal🤍,2RxLsQ1RkhRfLHhiADtxwQ,"Cherathukal (From ""Kumbalangi Nights"")",Sushin Shyam,Kumbalangi Nights (Original Motion Picture Soundtrack),224016,2019-03-20,0
Mal🤍,4hTcGYU6uXZVCAfIMsxhlC,"Parayuvaan - From ""Ishq""",Sid Sriram,"Parayuvaan (From ""Ishq"")",277346,2019-05-12,0
Mal🤍,36bYASwok7rBHAkrqiPdnu,Pavizha Mazha,P S Jayhari,Athiran (Original Motion Picture Soundtrack),233190,2019-04-01,0
Mal🤍,6kPYrnBJubso1t47lbXvNU,Uyire,Sid Sriram,"Uyire (From ""Gauthamante Radham"")",199921,2020-01-20,0
Mal🤍,10xUfZwNHGEaEe1kJQlJeh,"Madhu Pole (From ""Dear Comrade"")",Sid Sriram,"Madhu Pole (From ""Dear Comrade"")",261503,2019-05-15,0
Mal🤍,0vmxxVMfJN21J3xX2uqzkg,"Uyire - From ""Minnal Murali""",Shaan Rahman,"Uyire (From ""Minnal Murali"")",327155,2021-11-23,0
Mal🤍,0Kb9CqpIJwCVFbnIDpSahK,"Kannil Pettole - From ""Thallumaala""",Vishnu Vijay,Thallumaala,175440,2022-08-16,0
Mal🤍,4wMpv5KCDYSCQ0rWwKON0E,"Ole Melody - From ""Thallumaala""",Haricharan,Thallumaala,242005,2022-08-16,0
Mal🤍,3iH9MTX6mSGgSNlw9Q2T6t,"Thallumaala Paattu - From ""Thallumaala""",Hrithik Jayakish,Thallumaala,183737,2022-08-16,0
Mal🤍,5u1cWcqIX6sbKiVJn8PR86,"Manavaalan Thug - From ""Thallumaala""",Dabzee,Thallumaala,200000,2022-08-16,0
Mal🤍,3j56pKoPJO2Jhr4SFN1M1S,Muthuchippi,Sachin Warrier,Thattathin Marayathu (Original Motion Picture Soundtrack),245133,2012-07-31,0
Mal🤍,5LX6K4ZFSfl9dk8tkUOCPq,Akasham Pole,Sushin Shyam,Bheeshma Parvam,208948,2022-02-16,0
Mal🤍,0w3pXOF7eWn9WNJlTiYgY4,Paattil Ee Paattil,Shreya Ghoshal,Pranayam (Original Motion Picture Soundtrack),244706,2011-07-01,0
Mal🤍,6gCENembQSBTbuVLvjMerP,Poomuthole,Ranjin Raj,Joseph (Original Motion Picture Soundtrack),290810,2018-11-19,0
Mal🤍,3bbzeZcfsK0ac7rdN2s7WX,Uyiril Thodum,"Sooraj Santhosh,Anne Amie",Kumbalangi Nights (Original Motion Picture Soundtrack),234929,2019-02-05,0
Mal🤍,6OWmzBFKegOgCU525MNQny,Puthiyoru Lokam,Hesham Abdul Wahab,Hridayam (Side B) [Original Motion Picture Soundtrack],201744,2022-01-17,0
Mal🤍,1wIQyXIK78ouFBP6LRxd6E,Kannadi Koodum Kootti - Recreated Version,Sanah Moidutty,Kannadi Koodum Kootti (Recreated Version),209690,2020-01-03,0
Mal🤍,5IRJptk3sgmXrrqAbML9nv,Mukkathe Penne,Mohammed Maqbool Mansoor,Ennu Ninte Moideen (Original Motion Picture Soundtrack),255363,2015-07-17,0
Mal🤍,0q5vrVopEWT359duzBEBPV,Parayathe Parayunna,Nikhil Chandran,Parayathe Parayunna,257228,2018-07-17,0
Mal🤍,0Gb6ci1GDk8FZD58mB8kii,Vennila Chandana Kinnam - Recreated Version,Sanah Moidutty,Vennila Chandana Kinnam (Recreated Version),184500,2020-12-31,0
